access_day,access_hour,product_name,category_name,department_name,total_views,unique_visitors
2017-09-01,6,adidas kids' rg iii mid football cleat,featured shops,apparel ,1,1
2017-09-01,6,bridgestone e6 straight distance nfl tennesse,electronics,outdoors ,1,1
2017-09-01,6,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,2,2
2017-09-01,6,mio alpha heart rate monitor/sport watch,kids' golf clubs,outdoors ,1,1
2017-09-01,6,nike men's comfort 2 slide,tennis & racquet,fitness ,1,1
2017-09-01,6,nike men's dri-fit victory golf polo,women's apparel,golf ,4,4
2017-09-01,6,nike men's fingertrap max training shoe,soccer,fitness ,1,1
2017-09-01,6,perfect fitness perfect rip deck,cleats,apparel ,1,1
2017-09-01,6,sole e35 elliptical,strength training,footwear ,1,1
2017-09-01,6,under armour hustle storm medium duffle bag,fitness accessories,footwear ,1,1
2017-09-01,6,under armour kids' mercenary slide,electronics,footwear ,1,1
2017-09-01,7,adidas kids' f5 messi fg soccer cleat,baseball & softball,fitness ,1,1
2017-09-01,7,adidas kids' rg iii mid football cleat,featured shops,apparel ,2,2
2017-09-01,7,cleveland golf collegiate my custom wedge 588,women's golf clubs,outdoors ,2,2
2017-09-01,7,cleveland golf women's 588 rtx cb satin chrom,golf apparel,outdoors ,1,1
2017-09-01,7,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,1,1
2017-09-01,7,glove it imperial golf towel,trade-in,outdoors ,1,1
2017-09-01,7,lija women's eyelet sleeveless golf polo,golf shoes,outdoors ,1,1
2017-09-01,7,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-01,7,nike men's comfort 2 slide,tennis & racquet,fitness ,1,1
2017-09-01,7,nike men's free 5.0+ running shoe,cardio equipment,footwear ,1,1
2017-09-01,7,o'brien men's neoprene life vest,indoor outdoor games,fan shop ,2,2
2017-09-01,7,sole e35 elliptical,strength training,footwear ,1,1
2017-09-01,7,team golf st. louis cardinals putter grip,accessories,outdoors ,1,1
2017-09-01,7,under armour hustle storm medium duffle bag,fitness accessories,footwear ,1,1
2017-09-01,7,under armour men's tech ii t-shirt,lacrosse,fitness ,1,1
2017-09-01,7,yakima doubledown ace hitch mount 4-bike rack,strength training,footwear ,1,1
2017-09-01,8,adidas kids' rg iii mid football cleat,featured shops,apparel ,2,2
2017-09-01,8,bushnell pro x7 jolt slope rangefinder,kids' golf clubs,outdoors ,1,1
2017-09-01,8,cleveland golf women's 588 rtx cb satin chrom,golf apparel,outdoors ,1,1
2017-09-01,8,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,1,1
2017-09-01,8,field & stream sportsman 16 gun fire safe,fishing,fan shop ,2,2
2017-09-01,8,glove it imperial golf towel,trade-in,outdoors ,1,1
2017-09-01,8,insta-bed neverflat air mattress,hunting & shooting,fan shop ,1,1
2017-09-01,8,nike dri-fit crew sock 6 pack,hockey,fitness ,1,1
2017-09-01,8,nike men's cj elite 2 td football cleat,men's footwear,apparel ,2,2
2017-09-01,8,nike men's dri-fit victory golf polo,women's apparel,golf ,3,3
2017-09-01,8,nike men's fingertrap max training shoe,soccer,fitness ,1,1
2017-09-01,8,nike men's free tr 5.0 tb training shoe,as seen on  tv!,footwear ,1,1
2017-09-01,8,o'brien men's neoprene life vest,indoor outdoor games,fan shop ,2,1
2017-09-01,8,pelican sunstream 100 kayak,water sports,fan shop ,1,1
2017-09-01,8,perfect fitness perfect rip deck,cleats,apparel ,1,1
2017-09-01,8,the north face women's recon backpack,hunting & shooting,fan shop ,1,1
2017-09-01,8,under armour kids' mercenary slide,electronics,footwear ,1,1
2017-09-01,8,under armour men's tech ii t-shirt,lacrosse,fitness ,1,1
2017-09-01,8,under armour women's ignite slide,electronics,footwear ,1,1
2017-09-01,8,under armour women's micro g skulpt running s,boxing & mma,footwear ,1,1
2017-09-01,9,adidas kids' rg iii mid football cleat,featured shops,apparel ,1,1
2017-09-01,9,bridgestone e6 straight distance nfl carolina,electronics,outdoors ,2,2
2017-09-01,9,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,1,1
2017-09-01,9,field & stream sportsman 16 gun fire safe,fishing,fan shop ,1,1
2017-09-01,9,mio alpha heart rate monitor/sport watch,kids' golf clubs,outdoors ,1,1
2017-09-01,9,nike men's dri-fit victory golf polo,women's apparel,golf ,1,1
2017-09-01,9,nike men's fingertrap max training shoe,soccer,fitness ,1,1
2017-09-01,9,nike men's free tr 5.0 tb training shoe,as seen on  tv!,footwear ,1,1
2017-09-01,9,pelican sunstream 100 kayak,water sports,fan shop ,1,1
2017-09-01,9,perfect fitness perfect rip deck,cleats,apparel ,1,1
2017-09-01,9,stiga master series st3100 competition indoor,hockey,fitness ,1,1
2017-09-01,9,the north face women's recon backpack,hunting & shooting,fan shop ,1,1
2017-09-01,9,under armour men's tech ii t-shirt,lacrosse,fitness ,1,1
2017-09-01,9,yakima doubledown ace hitch mount 4-bike rack,strength training,footwear ,1,1
2017-09-01,10,adidas kids' f5 messi fg soccer cleat,baseball & softball,fitness ,1,1
2017-09-01,10,adidas youth germany black/red away match soc,girls' apparel,golf ,1,1
2017-09-01,10,diamondback women's serene classic comfort bi,camping & hiking,fan shop ,1,1
2017-09-01,10,field & stream sportsman 16 gun fire safe,fishing,fan shop ,1,1
2017-09-01,10,garmin forerunner 910xt gps watch,kids' golf clubs,outdoors ,1,1
2017-09-01,10,lija women's eyelet sleeveless golf polo,golf shoes,outdoors ,1,1
2017-09-01,10,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-01,10,nike men's fingertrap max training shoe,soccer,fitness ,2,2
2017-09-01,10,perfect fitness perfect rip deck,cleats,apparel ,2,2
2017-09-01,10,the north face women's recon backpack,hunting & shooting,fan shop ,1,1
2017-09-01,10,titleist pro v1x high numbers golf balls,electronics,outdoors ,1,1
2017-09-01,10,tyr boys' team digi jammer,girls' apparel,golf ,1,1
2017-09-01,11,adidas kids' rg iii mid football cleat,featured shops,apparel ,1,1
2017-09-01,11,cleveland golf collegiate my custom wedge 588,women's golf clubs,outdoors ,1,1
2017-09-01,11,glove it urban brick golf towel,trade-in,outdoors ,1,1
2017-09-01,11,nike men's comfort 2 slide,tennis & racquet,fitness ,1,1
2017-09-01,11,nike men's fingertrap max training shoe,soccer,fitness ,1,1
2017-09-01,11,nike men's free 5.0+ running shoe,cardio equipment,footwear ,1,1
2017-09-01,11,o'brien men's neoprene life vest,indoor outdoor games,fan shop ,1,1
2017-09-01,11,perfect fitness perfect rip deck,cleats,apparel ,1,1
2017-09-01,11,stiga master series st3100 competition indoor,hockey,fitness ,1,1
2017-09-01,11,the north face women's recon backpack,hunting & shooting,fan shop ,2,2
2017-09-01,11,titleist pro v1x high numbers golf balls,electronics,outdoors ,1,1
2017-09-01,11,under armour girls' toddler spine surge runni,shop by sport,golf ,1,1
2017-09-01,11,under armour kids' mercenary slide,electronics,footwear ,1,1
2017-09-01,12,adidas kids' f5 messi fg soccer cleat,baseball & softball,fitness ,1,1
2017-09-01,12,adidas men's germany black crest away tee,girls' apparel,golf ,1,1
2017-09-01,12,cleveland golf collegiate my custom wedge 588,women's golf clubs,outdoors ,2,2
2017-09-01,12,garmin approach s4 golf gps watch,kids' golf clubs,outdoors ,1,1
2017-09-01,12,lija women's eyelet sleeveless golf polo,golf shoes,outdoors ,1,1
2017-09-01,12,mdgolf pittsburgh penguins putter,women's golf clubs,outdoors ,1,1
2017-09-01,12,nike men's comfort 2 slide,tennis & racquet,fitness ,1,1
2017-09-01,12,nike men's dri-fit victory golf polo,women's apparel,golf ,3,3
2017-09-01,12,nike men's free 5.0+ running shoe,cardio equipment,footwear ,1,1
2017-09-01,12,nike men's free tr 5.0 tb training shoe,as seen on  tv!,footwear ,1,1
2017-09-01,12,ogio race golf shoes,golf bags & carts,outdoors ,1,1
2017-09-01,12,pelican sunstream 100 kayak,water sports,fan shop ,1,1
2017-09-01,12,perfect fitness perfect rip deck,cleats,apparel ,1,1
2017-09-01,12,under armour girls' toddler spine surge runni,shop by sport,golf ,2,2
2017-09-01,13,adidas kids' rg iii mid football cleat,featured shops,apparel ,1,1
2017-09-01,13,cleveland golf collegiate my custom wedge 588,women's golf clubs,outdoors ,1,1
2017-09-01,13,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,1,1
2017-09-01,13,diamondback boys' insight 24 performance hybr,basketball,fitness ,3,3
2017-09-01,13,diamondback women's serene classic comfort bi,camping & hiking,fan shop ,1,1
2017-09-01,13,field & stream sportsman 16 gun fire safe,fishing,fan shop ,1,1
2017-09-01,13,glove it women's mod oval golf glove,golf balls,outdoors ,1,1
2017-09-01,13,nike men's cj elite 2 td football cleat,men's footwear,apparel ,2,2
2017-09-01,13,nike men's dri-fit victory golf polo,women's apparel,golf ,1,1
2017-09-01,13,nike men's fingertrap max training shoe,soccer,fitness ,1,1
2017-09-01,13,o'brien men's neoprene life vest,indoor outdoor games,fan shop ,1,1
2017-09-01,13,ogio race golf shoes,golf bags & carts,outdoors ,1,1
2017-09-01,13,pelican sunstream 100 kayak,water sports,fan shop ,1,1
2017-09-01,13,perfect fitness perfect rip deck,cleats,apparel ,2,2
2017-09-01,13,sole e25 elliptical,basketball,fitness ,2,2
2017-09-01,13,team golf new england patriots putter grip,accessories,outdoors ,1,1
2017-09-01,13,team golf pittsburgh steelers putter grip,accessories,outdoors ,1,1
2017-09-01,13,under armour hustle storm medium duffle bag,fitness accessories,footwear ,2,2
2017-09-01,13,under armour women's micro g skulpt running s,boxing & mma,footwear ,1,1
2017-09-01,14,adidas kids' rg iii mid football cleat,featured shops,apparel ,1,1
2017-09-01,14,adidas men's germany black crest away tee,girls' apparel,golf ,2,2
2017-09-01,14,diamondback women's serene classic comfort bi,camping & hiking,fan shop ,2,2
2017-09-01,14,garmin forerunner 910xt gps watch,kids' golf clubs,outdoors ,1,1
2017-09-01,14,nike men's dri-fit victory golf polo,women's apparel,golf ,5,5
2017-09-01,14,nike men's fingertrap max training shoe,soccer,fitness ,2,2
2017-09-01,14,nike men's free tr 5.0 tb training shoe,as seen on  tv!,footwear ,1,1
2017-09-01,14,ogio race golf shoes,golf bags & carts,outdoors ,1,1
2017-09-01,14,pelican sunstream 100 kayak,water sports,fan shop ,1,1
2017-09-01,14,taylormade 2017 purelite stand bag,golf gloves,outdoors ,1,1
2017-09-01,14,team golf st. louis cardinals putter grip,accessories,outdoors ,1,1
2017-09-01,14,the north face women's recon backpack,hunting & shooting,fan shop ,1,1
2017-09-01,14,titleist pro v1x golf balls,electronics,outdoors ,1,1
2017-09-01,14,tyr boys' team digi jammer,girls' apparel,golf ,1,1
2017-09-01,14,under armour girls' toddler spine surge runni,shop by sport,golf ,1,1
2017-09-01,14,under armour women's micro g skulpt running s,boxing & mma,footwear ,2,2
2017-09-01,14,yakima doubledown ace hitch mount 4-bike rack,strength training,footwear ,1,1
2017-09-01,15,adidas men's germany black crest away tee,girls' apparel,golf ,1,1
2017-09-01,15,bridgestone e6 straight distance nfl tennesse,electronics,outdoors ,1,1
2017-09-01,15,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,1,1
